Date Time Hour Beginning,Residual Forecast,RSA Contracted Forecast,Residual Demand,ILS Usage
2021-04-01 12:00:00 AM,21076.232,21833.271,21177.801,0.0
2021-04-01 01:00:00 AM,20803.317,21453.623,20886.668,0.0
2021-04-01 02:00:00 AM,20752.81,21284.327,20822.775,0.0
2021-04-01 03:00:00 AM,20871.016,21396.662,21068.201,0.0
2021-04-01 04:00:00 AM,22089.175,22639.893,22216.935,0.0
2021-04-01 05:00:00 AM,24476.193,25048.864,24275.534,0.0
2021-04-01 06:00:00 AM,26500.478,27067.115,25935.668,0.0
2021-04-01 07:00:00 AM,25944.934,26840.03,25794.668,0.0
2021-04-01 08:00:00 AM,26155.986,27509.171,25819.534,0.0
2021-04-01 09:00:00 AM,26097.555,27939.432,25121.247,0.0
2021-04-01 10:00:00 AM,25828.861,28025.296,24831.716,0.0
2021-04-01 11:00:00 AM,25552.947,27839.603,24591.668,0.0
2021-04-01 12:00:00 PM,25141.802,27416.286,24257.668,0.0
2021-04-01 01:00:00 PM,24656.683,26897.078,24114.517,0.0
2021-04-01 02:00:00 PM,24623.819,26799.504,24034.935,0.0
2021-04-01 03:00:00 PM,24627.436,26701.649,23938.095,0.0
2021-04-01 04:00:00 PM,25058.588,26881.058,24595.317,0.0
2021-04-01 05:00:00 PM,26120.054,27713.524,25375.05,0.0
2021-04-01 06:00:00 PM,27420.685,28884.004,26896.804,0.0
2021-04-01 07:00:00 PM,26863.529,28256.505,26537.92,0.0
2021-04-01 08:00:00 PM,25305.691,26610.674,25166.387,0.0
2021-04-01 09:00:00 PM,23724.903,24737.795,23718.075,0.0
2021-04-01 10:00:00 PM,22183.572,22962.002,22713.635,0.0
2021-04-01 11:00:00 PM,21185.724,21731.015,21482.787,0.0
2021-04-02 12:00:00 AM,20460.92,20936.119,20700.117,0.0
2021-04-02 01:00:00 AM,20064.644,20481.728,20339.405,0.0
2021-04-02 02:00:00 AM,19947.513,20320.313,20147.561,0.0
2021-04-02 03:00:00 AM,20092.412,20472.643,20179.801,0.0
2021-04-02 04:00:00 AM,20332.088,20707.813,20412.201,0.0
2021-04-02 05:00:00 AM,20927.428,21337.119,20730.225,0.0
2021-04-02 06:00:00 AM,21906.427,22366.83,21678.335,0.0
2021-04-02 07:00:00 AM,23099.575,23953.981,23000.725,0.0
2021-04-02 08:00:00 AM,23631.717,25113.741,23349.201,0.0
2021-04-02 09:00:00 AM,23580.823,25648.138,23329.935,0.0
2021-04-02 10:00:00 AM,22988.901,25406.506,23047.201,0.0
2021-04-02 11:00:00 AM,22529.539,25101.5,22905.935,0.0
2021-04-02 12:00:00 PM,22209.827,24871.757,22492.971,0.0
2021-04-02 01:00:00 PM,21881.268,24578.577,22025.935,0.0
2021-04-02 02:00:00 PM,21450.33,24120.971,21932.068,0.0
2021-04-02 03:00:00 PM,21586.492,24188.189,22119.068,0.0
2021-04-02 04:00:00 PM,22083.865,24384.65,22678.935,0.0
2021-04-02 05:00:00 PM,23218.304,25031.459,23851.951,0.0
2021-04-02 06:00:00 PM,24735.537,26189.974,25185.935,0.0
2021-04-02 07:00:00 PM,24392.791,25715.778,24745.201,0.0
2021-04-02 08:00:00 PM,23080.23,24367.028,23324.801,0.0
2021-04-02 09:00:00 PM,21884.731,23033.799,22083.068,0.0
2021-04-02 10:00:00 PM,20625.045,21591.195,21233.935,0.0
2021-04-02 11:00:00 PM,19874.812,20680.555,20240.935,0.0
2021-04-03 12:00:00 AM,19110.525,19802.173,19721.068,0.0
2021-04-03 01:00:00 AM,18844.249,19436.058,19506.935,0.0
2021-04-03 02:00:00 AM,18693.193,19220.146,19292.068,0.0
2021-04-03 03:00:00 AM,18775.113,19252.121,19345.201,0.0
2021-04-03 04:00:00 AM,19105.652,19543.343,19450.935,0.0
2021-04-03 05:00:00 AM,19702.462,20159.517,20089.935,0.0
2021-04-03 06:00:00 AM,20827.088,21282.325,20995.568,0.0
2021-04-03 07:00:00 AM,22119.337,22889.935,22598.935,0.0
2021-04-03 08:00:00 AM,23223.395,24633.356,23237.201,0.0
2021-04-03 09:00:00 AM,23385.249,25282.765,23106.801,0.0
2021-04-03 10:00:00 AM,22826.221,25009.619,22912.185,0.0
2021-04-03 11:00:00 AM,22511.163,24793.118,22457.935,0.0
2021-04-03 12:00:00 PM,22243.074,24546.544,22325.718,0.0
2021-04-03 01:00:00 PM,22113.336,24378.906,21995.935,0.0
2021-04-03 02:00:00 PM,21881.765,24113.883,21782.184,0.0
2021-04-03 03:00:00 PM,21778.265,23957.248,21764.534,0.0
2021-04-03 04:00:00 PM,22386.357,24257.999,22300.241,0.0
2021-04-03 05:00:00 PM,23411.974,24878.706,23477.443,0.0
2021-04-03 06:00:00 PM,25350.063,26563.506,25190.92,390.0
2021-04-03 07:00:00 PM,24671.686,25862.644,24557.856,60.0
2021-04-03 08:00:00 PM,23181.409,24303.043,23194.486,0.0
2021-04-03 09:00:00 PM,21945.923,22841.668,21904.464,0.0
2021-04-03 10:00:00 PM,20582.492,21157.911,21159.068,0.0
2021-04-03 11:00:00 PM,19799.381,20205.58,20282.068,0.0
2021-04-04 12:00:00 AM,19643.93,19979.261,19741.201,0.0
2021-04-04 01:00:00 AM,19318.301,19594.741,19347.068,0.0
2021-04-04 02:00:00 AM,19174.333,19438.236,19159.801,0.0
2021-04-04 03:00:00 AM,19193.847,19444.631,19369.048,0.0
2021-04-04 04:00:00 AM,19388.471,19630.554,19587.901,0.0
2021-04-04 05:00:00 AM,19773.122,20020.9,19896.935,0.0
2021-04-04 06:00:00 AM,20546.018,20835.291,20968.128,0.0
2021-04-04 07:00:00 AM,21777.893,22507.77,22376.935,0.0
